source,periodType,date,instrument,period,price
GFI,Q,2026-08-13,TD3C,2027-04-01,49.0
GFI,Q,2026-08-13,TD20,2027-04-01,78.68
GFI,Q,2026-08-13,TD7,2027-04-01,14.7
GFI,Q,2026-08-13,TD8,2027-04-01,20.5
GFI,Q,2026-08-13,TD25,2027-04-01,27.61
GFI,Q,2026-08-13,TD22,2027-04-01,59.26
GFI,Q,2026-08-13,TD19,2027-04-01,13.25
GFI,A,2026-08-13,TD3C,2027-01-01,43.0
GFI,A,2026-08-13,TD20,2027-01-01,76.8
GFI,A,2026-08-13,TD7,2027-01-01,15.0
GFI,A,2026-08-13,TD8,2027-01-01,20.82
GFI,A,2026-08-13,TD25,2027-01-01,25.47
GFI,A,2026-08-13,TD22,2027-01-01,60.19
GFI,A,2026-08-13,TD19,2027-01-01,14.0
GFI,A,2026-08-13,TD3C,2028-01-01,22.0
GFI,A,2026-08-13,TD20,2028-01-01,66.61
GFI,A,2026-08-13,TD7,2028-01-01,13.0
GFI,A,2026-08-13,TD8,2028-01-01,20.25
GFI,A,2026-08-13,TD25,2028-01-01,23.23
GFI,A,2026-08-13,TD22,2028-01-01,44.44
GFI,A,2026-08-13,TD19,2028-01-01,13.55
GFI,BITR,2026-08-14,TD3C,2026-08-01,481.67
GFI,BITR,2026-08-14,TD20,2026-08-01,259.83
GFI,BITR,2026-08-14,TD7,2026-08-01,201.67
GFI,BITR,2026-08-14,TD8,2026-08-01,335.0
GFI,BITR,2026-08-14,TD25,2026-08-01,369.44
GFI,BITR,2026-08-14,TD22,2026-08-01,18550000.0
GFI,BITR,2026-08-14,TD19,2026-08-01,225.22
GFI,MTD,2026-08-14,TD3C,2026-08-01,466.67
GFI,MTD,2026-08-14,TD20,2026-08-01,199.54
GFI,MTD,2026-08-14,TD7,2026-08-01,207.83
GFI,MTD,2026-08-14,TD8,2026-08-01,330.63
GFI,MTD,2026-08-14,TD25,2026-08-01,341.14
GFI,MTD,2026-08-14,TD22,2026-08-01,18775955.5
GFI,MTD,2026-08-14,TD19,2026-08-01,228.55
GFI,M,2026-08-14,TD3C,2026-08-01,470.0
GFI,M,2026-08-14,TD20,2026-08-01,13.4
GFI,M,2026-08-14,TD7,2026-08-01,210.0
GFI,M,2026-08-14,TD8,2026-08-01,415.0
GFI,M,2026-08-14,TD25,2026-08-01,123.86
GFI,M,2026-08-14,TD22,2026-08-01,19.5
GFI,M,2026-08-14,TD19,2026-08-01,240.0
GFI,M,2026-08-14,TD3C,2026-09-01,485.0
GFI,M,2026-08-14,TD20,2026-09-01,
GFI,M,2026-08-14,TD7,2026-09-01,200.0
GFI,M,2026-08-14,TD8,2026-09-01,350.0
GFI,M,2026-08-14,TD25,2026-09-01,
GFI,M,2026-08-14,TD22,2026-09-01,20.0
GFI,M,2026-08-14,TD19,2026-09-01,200.0
GFI,M,2026-08-14,TD3C,2026-10-01,480.0
GFI,M,2026-08-14,TD20,2026-10-01,
GFI,M,2026-08-14,TD7,2026-10-01,195.0
GFI,M,2026-08-14,TD8,2026-10-01,280.0
GFI,M,2026-08-14,TD25,2026-10-01,
GFI,M,2026-08-14,TD22,2026-10-01,19.5
GFI,M,2026-08-14,TD19,2026-10-01,165.0
GFI,M,2026-08-14,TD3C,2026-11-01,440.0
GFI,M,2026-08-14,TD20,2026-11-01,
GFI,M,2026-08-14,TD7,2026-11-01,185.0
GFI,M,2026-08-14,TD8,2026-11-01,260.0
GFI,M,2026-08-14,TD25,2026-11-01,
GFI,M,2026-08-14,TD22,2026-11-01,20.0
GFI,M,2026-08-14,TD19,2026-11-01,153.0
GFI,M,2026-08-14,TD3C,2026-12-01,395.0
GFI,M,2026-08-14,TD20,2026-12-01,
GFI,M,2026-08-14,TD7,2026-12-01,175.0
GFI,M,2026-08-14,TD8,2026-12-01,240.0
GFI,M,2026-08-14,TD25,2026-12-01,
GFI,M,2026-08-14,TD22,2026-12-01,20.5
GFI,M,2026-08-14,TD19,2026-12-01,150.0
GFI,Q,2026-08-14,TD3C,2026-10-01,438.33
GFI,Q,2026-08-14,TD20,2026-10-01,14.5
GFI,Q,2026-08-14,TD7,2026-10-01,185.0
GFI,Q,2026-08-14,TD8,2026-10-01,260.0
GFI,Q,2026-08-14,TD25,2026-10-01,137.37
GFI,Q,2026-08-14,TD22,2026-10-01,20.0
GFI,Q,2026-08-14,TD19,2026-10-01,156.0
GFI,Q,2026-08-14,TD3C,2027-01-01,387.18
GFI,Q,2026-08-14,TD20,2027-01-01,82.45
GFI,Q,2026-08-14,TD7,2027-01-01,156.96
GFI,Q,2026-08-14,TD8,2027-01-01,160.83
GFI,Q,2026-08-14,TD25,2027-01-01,238.23
GFI,Q,2026-08-14,TD22,2027-01-01,19.0
GFI,Q,2026-08-14,TD19,2027-01-01,122.51
GFI,Q,2026-08-14,TD3C,2027-04-01,60.0
GFI,Q,2026-08-14,TD20,2027-04-01,78.68
GFI,Q,2026-08-14,TD7,2027-04-01,14.7
GFI,Q,2026-08-14,TD8,2027-04-01,20.5
GFI,Q,2026-08-14,TD25,2027-04-01,27.61
GFI,Q,2026-08-14,TD22,2027-04-01,59.26
GFI,Q,2026-08-14,TD19,2027-04-01,13.25
GFI,A,2026-08-14,TD3C,2027-01-01,53.56
GFI,A,2026-08-14,TD20,2027-01-01,76.8
GFI,A,2026-08-14,TD7,2027-01-01,15.0
GFI,A,2026-08-14,TD8,2027-01-01,20.82
GFI,A,2026-08-14,TD25,2027-01-01,25.47
GFI,A,2026-08-14,TD22,2027-01-01,60.19
GFI,A,2026-08-14,TD19,2027-01-01,14.0
GFI,A,2026-08-14,TD3C,2028-01-01,23.0
GFI,A,2026-08-14,TD20,2028-01-01,66.61
GFI,A,2026-08-14,TD7,2028-01-01,13.0
GFI,A,2026-08-14,TD8,2028-01-01,20.25
GFI,A,2026-08-14,TD25,2028-01-01,23.23
GFI,A,2026-08-14,TD22,2028-01-01,44.44
GFI,A,2026-08-14,TD19,2028-01-01,13.55
GFI,BITR,2026-08-17,TD3C,2026-08-01,501.67
GFI,BITR,2026-08-17,TD20,2026-08-01,311.67
GFI,BITR,2026-08-17,TD7,2026-08-01,202.08
GFI,BITR,2026-08-17,TD8,2026-08-01,327.00
GFI,BITR,2026-08-17,TD25,2026-08-01,377.22
GFI,BITR,2026-08-17,TD22,2026-08-01,18791667.00
GFI,BITR,2026-08-17,TD19,2026-08-01,226.06
GFI,MTD,2026-08-17,TD3C,2026-08-01,469.85
GFI,MTD,2026-08-17,TD20,2026-08-01,209.73
GFI,MTD,2026-08-17,TD7,2026-08-01,207.31
GFI,MTD,2026-08-17,TD8,2026-08-01,330.26
GFI,MTD,2026-08-17,TD25,2026-08-01,344.42
GFI,MTD,2026-08-17,TD22,2026-08-01,18777383.82
GFI,MTD,2026-08-17,TD19,2026-08-01,228.32
GFI,M,2026-08-17,TD3C,2026-08-01,470.00
GFI,M,2026-08-17,TD20,2026-08-01,13.40
GFI,M,2026-08-17,TD7,2026-08-01,210.00
GFI,M,2026-08-17,TD8,2026-08-01,415.00
GFI,M,2026-08-17,TD25,2026-08-01,123.86
GFI,M,2026-08-17,TD22,2026-08-01,19.50
GFI,M,2026-08-17,TD19,2026-08-01,240.00
GFI,M,2026-08-17,TD3C,2026-09-01,485.00
GFI,M,2026-08-17,TD20,2026-09-01,
GFI,M,2026-08-17,TD7,2026-09-01,200.00
GFI,M,2026-08-17,TD8,2026-09-01,350.00
GFI,M,2026-08-17,TD25,2026-09-01,
GFI,M,2026-08-17,TD22,2026-09-01,20.00
GFI,M,2026-08-17,TD19,2026-09-01,200.00
GFI,M,2026-08-17,TD3C,2026-10-01,468.75
GFI,M,2026-08-17,TD20,2026-10-01,
GFI,M,2026-08-17,TD7,2026-10-01,195.00
GFI,M,2026-08-17,TD8,2026-10-01,280.00
GFI,M,2026-08-17,TD25,2026-10-01,
GFI,M,2026-08-17,TD22,2026-10-01,19.50
GFI,M,2026-08-17,TD19,2026-10-01,165.00
GFI,M,2026-08-17,TD3C,2026-11-01,441.25
GFI,M,2026-08-17,TD20,2026-11-01,
GFI,M,2026-08-17,TD7,2026-11-01,185.00
GFI,M,2026-08-17,TD8,2026-11-01,260.00
GFI,M,2026-08-17,TD25,2026-11-01,
GFI,M,2026-08-17,TD22,2026-11-01,20.00
GFI,M,2026-08-17,TD19,2026-11-01,153.00
GFI,M,2026-08-17,TD3C,2026-12-01,410.00
GFI,M,2026-08-17,TD20,2026-12-01,
GFI,M,2026-08-17,TD7,2026-12-01,175.00
GFI,M,2026-08-17,TD8,2026-12-01,240.00
GFI,M,2026-08-17,TD25,2026-12-01,
GFI,M,2026-08-17,TD22,2026-12-01,20.50
GFI,M,2026-08-17,TD19,2026-12-01,150.00
GFI,Q,2026-08-17,TD3C,2026-10-01,440.00
GFI,Q,2026-08-17,TD20,2026-10-01,14.50
GFI,Q,2026-08-17,TD7,2026-10-01,185.00
GFI,Q,2026-08-17,TD8,2026-10-01,260.00
GFI,Q,2026-08-17,TD25,2026-10-01,137.37
GFI,Q,2026-08-17,TD22,2026-10-01,20.00
GFI,Q,2026-08-17,TD19,2026-10-01,156.00
GFI,Q,2026-08-17,TD3C,2027-01-01,395.84
GFI,Q,2026-08-17,TD20,2027-01-01,82.45
GFI,Q,2026-08-17,TD7,2027-01-01,156.96
GFI,Q,2026-08-17,TD8,2027-01-01,160.83
GFI,Q,2026-08-17,TD25,2027-01-01,238.23
GFI,Q,2026-08-17,TD22,2027-01-01,19.00
GFI,Q,2026-08-17,TD19,2027-01-01,122.51
GFI,Q,2026-08-17,TD3C,2027-04-01,64.00
GFI,Q,2026-08-17,TD20,2027-04-01,78.68
GFI,Q,2026-08-17,TD7,2027-04-01,14.70
GFI,Q,2026-08-17,TD8,2027-04-01,20.50
GFI,Q,2026-08-17,TD25,2027-04-01,27.61
GFI,Q,2026-08-17,TD22,2027-04-01,59.26
GFI,Q,2026-08-17,TD19,2027-04-01,13.25
GFI,A,2026-08-17,TD3C,2027-01-01,56.00
GFI,A,2026-08-17,TD20,2027-01-01,76.80
GFI,A,2026-08-17,TD7,2027-01-01,15.00
GFI,A,2026-08-17,TD8,2027-01-01,20.82
GFI,A,2026-08-17,TD25,2027-01-01,25.47
GFI,A,2026-08-17,TD22,2027-01-01,60.19
GFI,A,2026-08-17,TD19,2027-01-01,14.00
GFI,A,2026-08-17,TD3C,2028-01-01,23.00
GFI,A,2026-08-17,TD20,2028-01-01,66.61
GFI,A,2026-08-17,TD7,2028-01-01,13.00
GFI,A,2026-08-17,TD8,2028-01-01,20.25
GFI,A,2026-08-17,TD25,2028-01-01,23.23
GFI,A,2026-08-17,TD22,2028-01-01,44.44
GFI,A,2026-08-17,TD19,2028-01-01,13.55
